episode_num,layer_num,quant_state,acc_state,reward,l1-bits,l2-bits,l3-bits,l4-bits,l5-bits,prob_2bits,prob_3bits,prob_4bits,prob_5bits,prob_8bits
24,1,1.0,0.0,0,8,8,8,8,8,0.19220012,0.16199276,0.18800597,0.26673618,0.19106497
24,2,0.9,0.0,0,8,8,4,8,8,0.16261263,0.17036037,0.23340102,0.24912041,0.18450563
24,3,0.8,0.0,0,8,8,4,4,8,0.17016533,0.16558258,0.21179564,0.25913644,0.19332002
24,4,0.8,0.9285333333333333,0.3240314277122372,8,8,4,4,8,0.17899744,0.15335827,0.19957994,0.2691669,0.1988975
25,0,0.9,0.0,0,4,8,8,8,8,0.19295655,0.16206554,0.18667108,0.26705393,0.19125287
25,1,0.75,0.0,0,4,2,8,8,8,0.19127858,0.16160631,0.18886203,0.26831663,0.18993652
25,2,0.675,0.0,0,4,2,5,8,8,0.16367504,0.17302462,0.23079638,0.24780951,0.18469433
25,3,0.675,0.0,0,4,2,5,8,8,0.16969736,0.1657931,0.21031861,0.25814697,0.19604398
25,4,0.675,0.7154666666666666,0.1944100598541386,4,2,5,8,8,0.18027952,0.1538569,0.19917342,0.26431617,0.20237404
26,0,0.85,0.0,0,2,8,8,8,8,0.19180584,0.16139776,0.18640661,0.26854914,0.1918407
26,1,0.775,0.0,0,2,5,8,8,8,0.19063734,0.16102622,0.18950798,0.26896676,0.1898617
26,2,0.625,0.0,0,2,5,2,8,8,0.16211097,0.17260817,0.23060276,0.24918117,0.18549694
26,3,0.55,0.0,0,2,5,2,5,8,0.17008099,0.164803,0.21017691,0.2582941,0.196645
26,4,0.55,0.42719999999999997,0.01153347822633096,2,5,2,5,8,0.18042499,0.15372936,0.19995505,0.26104462,0.20484601
27,0,0.925,0.0,0,5,8,8,8,8,0.1904109,0.16100658,0.18641151,0.2696881,0.1924829
27,1,0.85,0.0,0,5,5,8,8,8,0.18862627,0.16042307,0.1884528,0.2709934,0.1915044
27,2,0.85,0.0,0,5,5,8,8,8,0.15932208,0.1720662,0.23145948,0.25053993,0.18661238
27,3,0.7,0.0,0,5,5,8,2,8,0.1668458,0.16455159,0.21139544,0.26220754,0.19499964
27,4,0.6,0.7733333333333334,0.29229132646483696,5,5,8,2,4,0.17839493,0.15263993,0.19861807,0.26758862,0.20275846
28,0,0.925,0.0,0,5,8,8,8,8,0.18918782,0.16055876,0.18642999,0.27079123,0.19303215
28,1,0.775,0.0,0,5,2,8,8,8,0.18744315,0.15993899,0.18850966,0.27209112,0.19201708
28,2,0.65,0.0,0,5,2,3,8,8,0.15946151,0.17236845,0.23069957,0.25098333,0.18648712
28,3,0.65,0.0,0,5,2,3,8,8,0.16771007,0.16416241,0.2104421,0.26039326,0.19729213
28,4,0.5,0.38933333333333336,0.005267956115221153,5,2,3,8,2,0.17785926,0.15278585,0.19893944,0.26598766,0.2044278
29,0,0.9,0.0,0,4,8,8,8,8,0.18775907,0.1602489,0.18672943,0.27163184,0.19363077
29,1,0.825,0.0,0,4,5,8,8,8,0.1862294,0.15959483,0.18910374,0.27293417,0.19213791
29,2,0.675,0.0,0,4,5,2,8,8,0.1573663,0.17160569,0.23157284,0.25197533,0.18747982
29,3,0.575,0.0,0,4,5,2,4,8,0.16610785,0.16387956,0.21100077,0.26159677,0.19741504
29,4,0.425,0.12480000000000002,2.4687904356194194e-15,4,5,2,4,2,0.17765856,0.1526367,0.20001622,0.26406303,0.20562552
30,0,0.925,0.0,0,5,8,8,8,8,0.186377,0.16018592,0.18656398,0.2723904,0.19448271
