l1,l2,l3,l4,l5,l6,l7,acc
3,3,5,3,5,3,4,9.98
3,4,4,6,3,8,5,10.140000000000004
8,4,5,4,5,6,6,55.82
6,5,6,3,6,8,4,9.719999999999995
3,3,6,5,5,4,5,9.98
6,5,8,6,5,5,8,84.68
3,5,6,8,3,3,5,9.519999999999996
3,8,8,3,8,5,5,10.08
6,5,6,3,4,8,6,9.719999999999995
8,5,6,5,6,5,4,66.5
6,4,3,6,6,6,6,32.58
4,6,8,8,4,6,8,68.39999999999999
4,4,3,6,5,6,5,9.46
8,5,5,4,5,8,8,64.08
6,4,5,5,8,4,4,10.440000000000005
3,3,5,8,8,3,8,8.879999999999999
5,4,6,6,4,3,5,10.319999999999997
4,4,8,8,4,4,3,10.140000000000004
5,4,4,5,4,3,6,9.719999999999995
8,6,3,8,5,3,6,10.540000000000004
3,8,4,3,5,3,4,9.899999999999999
3,5,3,3,6,5,3,9.840000000000003
8,5,8,6,4,3,8,9.819999999999995
6,3,4,3,6,5,4,9.760000000000002
3,8,5,6,5,8,3,9.740000000000004
3,4,4,5,5,3,6,9.940000000000005
5,3,3,6,6,8,5,9.299999999999997
4,5,4,3,6,5,3,9.98
6,6,3,3,4,8,4,10.340000000000005
3,8,3,8,3,5,4,9.879999999999999
4,4,8,6,5,6,6,76.38000000000001
5,4,6,4,3,4,8,10.260000000000002
4,8,6,6,4,4,6,28.559999999999995
3,8,3,8,8,4,6,10.260000000000002
5,8,6,4,4,3,5,9.140000000000004
3,4,4,3,3,3,3,9.760000000000002
4,6,6,4,8,8,3,10.08
5,5,8,5,6,6,5,84.52
6,4,5,5,8,5,4,48.019999999999996
8,6,6,5,8,3,6,9.819999999999995
8,3,4,4,3,4,6,9.879999999999999
6,3,4,6,4,3,6,10.019999999999996
6,4,3,4,5,8,8,9.599999999999998
6,8,5,3,8,5,5,10.599999999999998
3,4,8,6,5,8,6,57.04
8,5,5,5,4,5,3,9.98
4,6,3,4,3,3,3,10.360000000000003
5,8,5,8,3,8,8,10.18
5,5,4,6,5,5,4,45.64
3,3,3,3,4,6,3,10.319999999999997
5,3,8,3,4,5,6,9.940000000000005
4,8,3,5,8,4,3,10.319999999999997
5,8,4,8,6,3,8,10.08
3,4,3,4,4,4,4,10.499999999999998
8,6,5,6,6,8,8,90.0
8,8,5,5,8,6,3,9.999999999999998
6,5,4,3,4,6,6,10.219999999999995
8,3,8,4,3,5,4,9.699999999999998
5,4,8,8,8,3,8,10.780000000000001
5,6,3,6,4,8,4,9.740000000000004
6,5,3,3,3,8,3,10.499999999999998
3,6,3,4,8,5,6,10.140000000000004
6,3,8,4,5,3,8,9.640000000000004
4,4,3,4,4,8,8,10.019999999999996
5,4,8,6,6,5,6,80.67999999999999
5,8,5,5,6,8,8,85.46000000000001
6,4,5,5,5,6,5,71.92
8,8,6,3,5,6,3,10.540000000000004
4,8,6,4,4,4,3,10.299999999999997
5,8,8,5,5,4,6,67.7
8,5,6,3,8,8,3,9.799999999999997
