layer1.0.conv1,layer1.0.conv2,layer1.1.conv1,layer1.1.conv2,layer1.2.conv1,layer1.2.conv2,layer2.0.conv1,layer2.0.conv2,layer2.0.downsample.0,layer2.1.conv1,layer2.1.conv2,layer2.2.conv1,layer2.2.conv2,layer3.0.conv1,layer3.0.conv2,layer3.0.downsample.0,layer3.1.conv1,layer3.1.conv2,layer3.2.conv1,layer3.2.conv2,acc
5,4,5,8,5,5,6,5,8,3,3,6,4,8,8,8,3,6,5,6,90.3
4,4,3,8,6,6,6,8,8,6,5,8,6,4,3,3,3,6,6,5,89.98
5,8,3,6,6,3,3,5,3,5,8,3,5,8,3,3,6,5,3,6,90.10000000000001
4,3,3,5,4,8,6,5,3,6,3,5,4,4,3,6,5,3,8,3,90.38000000000001
3,3,8,8,8,3,3,8,5,5,3,4,4,3,4,4,4,3,5,3,90.0
6,6,3,8,8,4,3,5,6,3,4,5,4,4,3,3,8,6,5,4,90.5
4,5,6,4,3,3,8,4,8,5,4,5,5,4,4,5,3,3,3,4,89.8
5,5,5,4,6,3,8,4,8,3,3,6,6,6,8,3,4,8,3,6,90.86
4,8,4,4,4,6,4,8,8,8,4,6,3,3,8,6,4,8,4,5,89.44
8,5,4,8,4,5,6,5,5,6,6,8,3,5,4,6,6,3,6,8,90.88000000000001
8,3,6,5,3,4,3,6,8,6,3,4,8,3,6,4,5,5,5,5,90.34
5,6,3,5,4,5,8,5,3,5,8,6,8,4,8,6,3,6,3,8,90.03999999999999
8,6,4,4,8,5,3,3,4,8,4,3,6,6,8,8,3,6,8,3,90.36
4,6,3,8,8,4,6,5,3,8,4,8,8,6,4,4,6,8,6,6,89.8
3,5,8,8,8,8,5,3,8,4,6,6,3,6,5,3,6,3,6,4,90.82000000000001
6,8,6,8,6,3,6,4,5,5,5,4,5,5,8,3,5,5,8,6,90.78
5,8,3,3,8,8,6,6,4,5,6,3,5,4,4,6,3,5,8,5,91.02
8,4,8,8,3,5,3,4,5,3,4,8,4,6,5,8,5,3,4,5,90.32
5,8,8,3,3,8,5,4,5,6,5,3,5,6,5,4,6,3,3,6,90.53999999999999
4,4,3,5,8,5,3,3,3,6,6,8,4,3,6,6,5,4,5,5,89.48
5,6,4,6,3,4,4,3,6,6,4,4,4,8,8,8,5,5,3,4,90.58
3,6,5,3,5,5,3,5,6,8,8,6,8,6,8,4,6,5,6,8,90.60000000000001
3,3,8,8,4,5,3,8,4,5,4,4,5,4,6,8,6,4,8,4,90.78
4,6,3,4,3,6,8,4,4,6,5,4,3,5,3,8,3,4,5,5,89.94
6,6,5,6,6,6,4,8,6,3,6,5,4,5,8,8,4,4,5,3,90.3
8,5,3,3,3,3,8,4,4,8,5,5,3,6,6,3,8,6,8,6,90.32
6,5,5,5,3,5,5,3,4,3,5,6,3,8,6,8,5,5,8,3,90.24
5,3,6,5,3,4,4,8,6,8,3,4,8,5,4,3,3,8,3,4,91.12
8,6,4,6,3,3,6,6,3,8,4,8,4,5,6,4,5,4,3,6,91.12
4,3,3,5,4,8,5,4,3,5,5,8,4,3,8,3,6,3,5,5,90.75999999999999
8,6,4,8,8,8,4,5,8,8,3,3,3,5,4,5,8,4,8,3,89.92
4,8,3,8,3,3,6,8,4,8,3,6,6,6,5,4,3,8,8,8,90.14
5,6,4,3,6,8,5,6,8,3,3,8,8,8,5,3,5,5,8,5,90.38000000000001
5,8,4,4,3,4,4,3,8,5,4,8,3,4,6,4,4,3,5,8,89.72
6,8,5,4,4,8,8,3,6,8,5,5,5,4,6,8,8,4,4,3,91.02
5,8,5,4,5,4,8,8,5,5,3,3,3,5,3,3,5,4,6,3,89.60000000000001
8,5,6,5,5,4,5,6,8,4,6,8,6,8,5,5,4,6,8,8,91.56
4,5,8,3,6,6,5,6,4,6,8,3,6,5,5,8,5,6,8,8,91.36
6,5,3,4,6,5,4,4,8,3,5,3,5,4,3,8,8,8,3,3,90.0
6,3,3,4,6,5,8,6,6,5,5,3,6,3,4,5,5,8,8,3,90.64
3,3,8,8,5,5,4,3,8,6,3,8,6,3,3,8,3,6,3,8,89.98
6,6,5,6,4,8,5,5,5,3,4,6,3,4,3,6,4,5,4,6,91.08000000000001
8,4,5,6,5,5,6,5,4,4,5,3,8,3,8,8,3,5,3,4,89.02
4,4,5,5,8,8,6,8,8,6,6,8,4,5,4,6,4,3,4,8,90.56
5,4,6,5,8,4,8,5,8,5,3,3,5,4,3,4,4,6,3,8,90.53999999999999
5,5,4,5,4,8,6,8,8,5,6,5,8,8,4,3,5,4,8,8,90.88000000000001
5,6,4,5,8,5,6,3,6,5,5,6,4,8,6,4,3,3,6,5,90.56
8,8,6,6,4,5,5,6,4,5,8,5,5,3,5,8,4,8,8,8,90.74
3,6,6,3,3,3,8,3,5,5,6,6,3,4,4,5,3,6,6,5,90.08
3,3,5,5,5,3,3,6,3,4,8,3,5,4,8,5,6,8,8,3,90.0
3,8,8,6,4,8,3,4,8,5,4,3,3,4,8,3,3,8,3,4,90.7
8,3,6,3,4,3,5,5,3,3,8,3,8,8,6,4,3,6,4,6,89.8
3,3,3,5,8,3,8,6,3,8,3,3,6,4,5,6,3,5,4,4,90.14
5,5,6,5,5,8,3,6,6,5,8,8,4,3,6,5,6,4,6,8,90.8
8,4,8,5,5,5,4,8,6,6,6,3,6,3,5,3,6,5,5,5,90.60000000000001
8,8,3,8,4,4,6,5,3,3,3,5,6,4,6,5,5,3,6,6,90.03999999999999
6,5,6,4,3,6,8,6,4,8,3,4,3,6,8,6,8,6,6,5,90.84
6,8,3,3,5,8,6,6,3,5,6,8,6,3,5,5,8,4,3,6,88.8
4,6,6,3,6,5,4,4,3,3,6,8,8,8,8,8,4,8,6,5,90.68
4,6,3,4,6,8,5,6,8,4,4,6,4,4,5,4,4,4,6,4,90.0
3,4,6,6,6,6,4,6,3,8,6,4,6,6,8,8,6,6,4,5,90.62
3,5,3,6,5,4,6,8,6,3,8,6,3,5,6,4,4,4,3,5,89.64
3,5,6,8,3,8,8,4,3,5,5,4,5,6,8,3,5,8,3,4,90.12
4,4,5,5,3,5,4,8,4,5,4,8,6,6,8,8,4,3,6,6,89.82
3,6,3,8,8,4,4,5,8,3,3,8,6,8,6,4,3,6,6,4,90.36
8,3,6,6,3,3,6,4,6,6,4,6,4,5,4,5,6,6,6,3,90.3
6,8,5,6,8,5,8,5,5,5,4,3,4,5,5,3,3,6,6,8,90.48
5,4,3,5,3,5,8,8,8,8,6,5,3,4,3,3,8,4,5,6,90.24
4,8,5,8,3,6,5,6,3,4,8,6,5,6,8,3,3,3,5,5,90.06
4,3,4,3,6,5,8,3,8,3,3,8,6,5,6,3,6,3,8,4,90.68
5,6,5,4,3,4,4,4,8,8,6,6,3,8,8,8,6,3,5,6,90.53999999999999
4,4,6,3,6,3,4,4,6,4,3,4,3,8,3,5,4,4,8,4,89.32
5,4,8,3,3,5,5,8,4,6,5,4,8,8,5,4,8,3,8,6,90.25999999999999
5,8,4,6,8,6,5,8,6,4,8,4,8,8,5,3,3,3,5,3,90.22
4,8,4,5,6,6,8,3,5,5,6,4,8,6,8,3,5,3,6,6,90.12
8,8,5,3,6,4,8,8,6,6,8,6,6,8,8,5,8,5,6,5,90.22
5,5,8,4,5,5,4,4,5,8,3,6,3,5,5,3,4,3,8,4,89.98
4,5,6,4,6,5,8,6,4,6,3,5,8,5,4,5,3,3,6,4,89.92
4,3,3,3,5,3,3,4,5,3,8,6,8,4,8,5,5,4,5,4,89.96
8,4,3,5,3,8,3,4,8,3,8,4,6,3,4,4,6,4,4,4,89.4
5,4,8,5,6,6,8,5,6,3,6,4,4,5,5,5,6,5,6,5,91.02
4,4,6,8,4,4,5,4,8,6,3,6,3,4,5,4,6,8,3,4,90.42
6,4,4,8,6,5,4,6,4,5,5,4,5,6,4,3,4,4,3,8,89.96
4,4,4,5,4,6,4,6,3,3,4,4,4,3,6,4,6,5,8,3,89.94
6,5,6,6,8,4,3,5,6,6,6,4,6,8,4,4,5,5,6,6,90.36
4,4,6,3,5,6,4,5,8,3,5,4,4,8,6,5,5,3,8,5,89.92
5,6,4,6,8,5,6,6,8,6,3,5,3,8,4,6,3,5,3,4,90.08
8,5,3,8,3,5,6,4,3,6,5,5,5,6,8,3,4,8,4,3,90.74
3,3,4,6,8,4,4,4,4,4,3,4,3,8,4,3,4,4,3,6,89.56
3,6,5,5,6,8,3,5,8,5,6,5,4,4,5,3,5,4,3,8,90.66
4,8,3,3,4,4,4,3,8,6,3,6,3,3,4,8,5,3,4,8,90.08
8,5,6,3,8,6,3,3,3,5,3,4,6,3,4,4,3,6,5,4,89.52
5,6,6,5,8,5,8,8,3,4,3,4,5,3,3,3,6,5,3,5,89.9
3,3,4,5,6,3,5,6,5,5,6,4,4,3,3,8,6,4,5,6,89.96
8,5,8,8,5,8,5,8,6,3,6,5,8,3,3,6,4,8,8,3,90.7
8,6,8,6,5,3,3,4,6,3,8,3,4,6,4,8,6,8,4,6,90.02
8,3,8,3,5,3,5,6,8,5,4,5,5,5,3,5,3,4,4,5,89.68
5,4,8,6,4,3,5,8,6,4,3,4,6,5,8,8,3,6,5,5,90.48
3,3,6,4,3,8,4,3,8,6,8,6,6,6,5,8,4,8,8,5,90.16
3,6,5,3,3,6,6,8,6,4,5,8,5,5,8,8,4,5,4,6,90.82000000000001
5,4,6,5,8,8,6,4,8,8,5,8,6,8,8,8,8,8,4,5,90.16
5,3,3,4,5,5,3,5,6,3,4,8,4,6,3,6,8,3,4,5,89.84
5,3,8,3,6,3,8,8,8,5,4,3,5,4,5,5,4,4,8,5,90.75999999999999
8,5,3,6,5,6,8,3,5,4,8,5,6,8,8,6,4,5,3,3,90.28
3,6,5,4,4,4,8,5,8,3,4,6,3,6,6,8,3,5,8,8,90.42
3,5,4,8,5,5,5,3,4,8,5,6,3,5,3,6,6,5,5,3,89.36
3,3,3,8,5,4,3,8,4,8,6,6,5,5,3,5,6,5,4,6,89.88000000000001
6,6,5,6,5,6,8,6,6,4,4,6,3,6,3,3,3,5,8,8,89.9
4,4,3,4,8,5,4,8,5,5,6,6,5,3,3,6,8,4,3,8,89.96
4,5,6,6,3,6,6,5,3,3,3,3,3,3,6,6,6,8,5,8,90.24
3,6,4,8,4,5,3,6,8,4,8,8,6,4,6,3,4,8,3,3,90.48
8,5,8,3,6,8,5,8,4,3,8,8,6,6,6,3,6,8,4,6,90.22
6,6,3,5,6,3,6,5,8,5,6,8,3,5,3,6,6,3,8,3,90.24
8,5,3,8,6,3,8,4,8,5,3,6,3,8,4,6,3,6,3,6,89.18
4,4,5,5,4,3,8,6,8,4,6,4,8,5,8,8,3,4,8,5,90.5
6,4,3,5,5,6,4,4,5,6,3,5,3,8,3,6,5,5,5,4,90.12
8,3,8,3,4,5,5,6,8,3,3,8,6,3,4,5,5,4,4,5,90.58
8,4,3,6,8,5,5,4,4,8,3,8,5,4,4,5,3,8,8,5,90.75999999999999
4,5,3,5,8,5,5,8,5,3,8,8,5,6,6,8,3,5,4,6,90.28
5,3,4,4,5,6,5,4,3,3,6,5,5,4,5,4,3,4,8,5,89.32
8,8,3,6,5,3,4,8,8,5,3,6,3,5,3,6,8,3,4,4,90.18
8,6,3,6,6,5,6,8,5,5,5,6,5,5,3,5,8,8,4,3,90.82000000000001
3,3,8,4,8,6,3,3,8,6,6,3,5,4,8,6,5,8,4,6,89.96
4,8,8,6,3,8,8,6,6,4,3,6,8,4,3,6,5,5,4,5,90.92
5,3,6,4,6,3,4,5,6,8,4,3,6,5,5,8,3,3,8,3,90.16
3,6,4,5,4,6,5,6,8,8,6,5,8,4,3,6,5,8,4,3,90.72
4,6,4,4,4,8,3,8,6,8,4,5,5,8,4,6,8,4,6,5,90.46
6,6,5,6,3,4,5,6,3,4,5,3,3,5,4,3,8,4,8,4,90.78
6,3,5,8,6,3,6,8,8,6,3,3,3,6,3,8,6,8,6,6,89.53999999999999
5,5,6,8,4,4,4,4,5,8,8,6,4,3,3,8,3,4,3,4,89.62
5,8,6,8,4,6,3,6,8,8,3,6,3,6,4,4,6,5,3,8,90.9
8,6,3,4,4,6,3,6,4,8,8,3,6,5,5,3,5,8,4,8,90.66
4,6,8,3,6,4,6,8,4,6,4,5,4,6,5,6,8,8,5,5,90.52
4,4,5,8,5,6,5,8,6,4,8,6,5,8,4,6,8,5,8,4,90.74
4,5,5,8,8,6,6,3,6,6,6,4,6,8,3,5,5,5,8,4,90.25999999999999
6,5,4,5,3,3,3,4,4,6,6,5,6,5,5,4,5,5,6,3,91.22
4,8,3,6,6,5,3,5,4,8,8,8,3,5,3,3,5,8,4,8,90.32
6,5,5,6,5,4,4,4,4,5,3,4,6,3,3,5,5,3,3,6,90.18
5,5,3,5,6,4,3,8,3,3,4,3,4,6,4,8,4,4,5,5,90.38000000000001
4,3,3,5,4,5,5,3,8,5,4,3,8,8,4,5,8,5,3,6,89.46000000000001
6,3,4,6,5,4,5,8,5,4,8,4,8,6,8,3,8,8,8,3,90.52
8,3,3,6,8,3,4,3,8,6,6,8,5,5,6,8,5,3,4,5,90.08
