features.3,features.6,features.8,features.10,classifier.1,classifier.4,acc
4,6,2,3,3,7,1.1224327336411433
3,6,4,3,6,5,9.871039643368896
6,4,4,2,3,3,1.0905906702754375
2,2,5,7,2,7,2.1334182455023054
2,2,4,3,3,4,0.8915777742397712
2,3,4,2,5,7,0.9950644801783204
6,2,6,3,5,4,1.1303932494825641
5,6,2,4,5,5,1.0826301544340056
2,7,3,6,5,3,1.9901289603566297
4,2,3,4,4,7,1.0587486069097318
5,5,5,3,4,3,0.9871039643368884
2,4,4,4,3,3,0.9791434484954675
5,3,7,5,6,3,8.430186276070694
5,5,7,2,7,3,0.8756567425569184
4,4,3,6,6,5,25.187072122273523
5,7,4,5,3,7,2.396115268269383
7,4,7,5,4,6,5.301703550390069
3,4,3,5,7,5,16.541951918484322
7,4,3,7,2,5,0.9871039643368884
5,7,5,7,7,4,0.9871039643368884
